session_id,user_id,movie_id,watch_date,device_type,watch_duration_minutes,progress_percentage,action,quality,location_country,is_download,user_rating,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at,title,content_type,genre_primary,genre_secondary,release_year,duration_minutes,language,country_of_origin,production_budget,box_office_revenue,number_of_seasons,number_of_episodes,is_netflix_original,added_to_platform,content_warning
session_000100,user_06185,movie_0701,2024-06-08,Laptop,51.75,33.0,completed,SD,Canada,False,3.0,ramosdaniel@example.org,Kayla,Haynes,15.0,Female,Canada,Saskatchewan,North Sarahchester,Premium,2023-01-28,True,13.56,Smart TV,4.0,2022-12-16 09:28:07.776570,Adventure Mission,Limited Series,Animation,History,2012,74.0,Hindi,Canada,,,2.0,197.0,False,2024-05-08,False
session_000103,user_08393,movie_0176,2024-05-26,Mobile,2.5,64.3,started,SD,USA,False,TV-Y7,adriana46@example.org,Patricia,Harris,13.0,Male,Canada,Newfoundland and Labrador,East Veronicashire,Standard,2024-11-02,True,21.09,Tablet,2.0,2024-12-23 08:51:06.165442,Dream City,TV Series,Documentary,,2008,39.0,French,USA,,,10.0,116.0,True,2022-09-02,False
session_000108,user_02732,movie_0581,2024-12-30,Tablet,8.1,29.6,started,HD,USA,False,TV-Y,alvaradopaul@example.com,Vanessa,Griffin,33.0,Male,USA,Texas,West Christopherchester,Premium,2024-06-03,True,6.33,Gaming Console,,2024-06-07 21:09:30.971008,Ice Kingdom,Documentary,Sci-Fi,War,2016,111.0,English,USA,,,,,False,2023-07-19,True
session_000112,user_08111,movie_0697,2025-08-06,Mobile,18.3,96.8,completed,HD,USA,False,TV-MA,rebeccasanders@example.net,John,Allen,35.0,Male,Canada,Saskatchewan,North Nancyport,Premium,2025-05-18,True,18.23,Laptop,,2024-11-27 14:42:22.847737,Journey Fire,TV Series,Music,,2015,38.0,Italian,South Korea,,,5.0,65.0,False,2020-08-15,False
session_000113,user_03841,movie_0911,2025-09-04,Mobile,105.3,13.3,paused,SD,USA,False,TV-14,brandy23@example.org,Frederick,Osborne,42.0,Male,USA,Wisconsin,East Williamborough,Premium,2024-01-11,True,12.64,Desktop,4.0,2025-06-18 01:51:46.113572,Bright Dragon,Stand-up Comedy,Thriller,,2018,55.0,English,USA,,,,,False,2022-09-23,True
session_000114,user_01029,movie_0085,2024-06-01,Smart TV,48.7,36.7,stopped,HD,USA,False,TV-Y,rsharp@example.com,Ryan,Gordon,16.0,Male,Canada,Ontario,Martinside,Premium+,2024-10-10,True,13.4,Tablet,3.0,2024-04-17 12:11:19.506604,Mission Secret,Stand-up Comedy,Crime,Crime,2009,44.0,Korean,USA,,,,,False,2024-05-03,True
session_000118,user_09063,movie_0642,2024-08-22,Mobile,72.2,96.3,completed,4K,Canada,False,5.0,brucegonzalez@example.net,Nicholas,Garza,94.0,Female,USA,Tennessee,Michaelburgh,Premium,2024-12-04,True,2.34,Gaming Console,2.0,2023-10-07 12:07:24.628801,Hero Dragon,Limited Series,Romance,,2011,20.0,Italian,Canada,,,3.0,37.0,True,2021-04-26,True
session_000119,user_06939,movie_0217,2024-11-14,Mobile,37.5,71.3,paused,4K,USA,False,TV-G,carol16@example.org,Bobby,Brady,20.0,Male,USA,Missouri,Maryborough,Premium,2024-07-08,True,13.4,Desktop,4.0,2022-11-21 21:10:06.810842,Quest Secret,Movie,Drama,,2008,93.0,English,UK,1331293.0,136118745.0,,,False,2024-10-25,False
session_000125,user_07036,movie_0885,2024-05-21,Mobile,35.6,96.3,stopped,HD,USA,False,TV-MA,samuel25@example.com,Rodney,Smith,27.0,Female,USA,California,Andrewhaven,Standard,2025-03-18,True,9.57,Smart TV,2.0,2025-03-08 15:57:22.200209,Battle Fire,Movie,Comedy,,2015,74.0,English,USA,2627377.0,10816317.0,,,False,2025-02-26,False
session_000127,user_07859,movie_0618,2024-10-16,Tablet,41.5,83.2,completed,SD,USA,True,NC-17,shawnhancock@example.net,David,Moreno,37.0,Male,USA,Massachusetts,Port Jamiebury,Premium,2023-05-08,True,13.4,Desktop,1.0,2022-09-05 12:08:09.337700,First Kingdom,TV Series,War,Romance,2014,58.0,English,South Korea,,,1.0,152.0,False,2024-05-30,False
session_000127,user_07859,movie_0618,2024-10-16,Tablet,41.5,83.2,completed,SD,USA,True,NC-17,shawnhancock@example.net,David,Moreno,37.0,Male,USA,Massachusetts,Port Jamiebury,Premium,2023-05-08,True,13.4,Desktop,1.0,2022-09-05 12:08:09.337700,First Kingdom,TV Series,War,Romance,2014,58.0,English,South Korea,,,1.0,152.0,False,2024-05-30,False
session_000136,user_06375,movie_0275,2025-12-08,Desktop,50.4,96.0,started,4K,USA,False,TV-MA,samanthaboyd@example.org,Austin,Hudson,42.0,Female,USA,Wisconsin,Paulmouth,Standard,2024-02-10,True,32.62,Tablet,,2024-11-21 10:51:41.998689,Night City,Stand-up Comedy,Drama,,2007,67.0,English,USA,,,,,False,2025-05-09,False
session_000140,user_04637,movie_0271,2025-04-18,Laptop,51.7,37.0,paused,HD,USA,True,PG-13,amymartin@example.net,Kelly,Thomas,41.0,Other,USA,California,Lake Cindy,Basic,2023-07-11,True,6.24,Desktop,6.0,2024-07-09 14:38:59.470176,Our Mission,TV Series,Music,War,2013,66.0,French,Japan,,,1.0,78.0,True,2020-12-04,True
session_000146,user_09790,movie_0801,2024-11-16,Mobile,38.2,83.1,paused,HD,USA,False,TV-MA,leslierodriguez@example.org,Sandra,Nichols,7.0,Female,USA,Arizona,South Jenniferstad,Premium,2022-12-21,True,14.07,Tablet,7.0,2025-04-04 00:53:38.450992,House Legend,Limited Series,Thriller,War,2022,83.0,English,USA,,,12.0,22.0,True,2025-04-11,False
session_000151,user_01664,movie_0905,2024-11-14,Tablet,4.6,73.3,started,SD,Canada,True,TV-Y,shawnareese@example.net,Caitlin,Ingram,44.0,Female,USA,Washington,West Kimberlymouth,Premium,2024-02-08,False,6.75,Mobile,7.0,2025-02-02 19:17:34.751214,Dark Quest,Movie,Adventure,,2020,153.0,English,USA,,52461237.0,,,True,2024-02-17,False
session_000153,user_05593,movie_0198,2024-12-14,Mobile,43.5,28.6,stopped,HD,Canada,False,TV-PG,vpena@example.org,Thomas,Ferguson,42.0,Male,Canada,New Brunswick,Spencerbury,Premium,2023-05-26,True,14.56,Mobile,1.0,2022-12-24 19:49:43.891371,Phoenix Family,TV Series,Sport,,2007,48.0,Hindi,USA,,,6.0,141.0,True,2023-01-02,False
session_000154,user_07393,movie_0642,2025-09-25,Mobile,33.2,91.8,started,HD,USA,False,TV-14,nelsonshane@example.net,Tonya,Perry,39.0,Male,USA,North Carolina,Port Joseph,Standard,2025-02-18,True,30.1,Gaming Console,7.0,2023-04-29 19:49:57.058582,Hero Dragon,Limited Series,Romance,,2011,20.0,Italian,Canada,,,3.0,37.0,True,2021-04-26,True
session_000158,user_09475,movie_0581,2025-07-04,Tablet,20.0,21.5,paused,4K,USA,True,TV-Y,jameshorn@example.org,Meredith,Li,38.0,Female,USA,California,East Geraldside,Premium+,2024-12-08,True,13.4,Desktop,1.0,2023-04-18 13:08:46.705201,Ice Kingdom,Documentary,Sci-Fi,War,2016,111.0,English,USA,,,,,False,2023-07-19,True
session_000159,user_07527,movie_0279,2025-11-05,Laptop,99.6,13.4,completed,SD,USA,False,TV-Y,hcarr@example.net,Elizabeth,Brown,36.0,Female,USA,Maryland,Rebeccastad,Premium,2022-10-28,True,22.09,Desktop,4.0,2023-04-30 05:00:41.431753,My Adventure,TV Series,War,Sport,2011,53.0,English,USA,,,13.0,77.0,False,2022-06-21,True
session_000160,user_08902,movie_0572,2024-11-03,Tablet,43.7,9.7,started,SD,Canada,False,PG-13,daymary@example.com,Emily,Garcia,26.0,Other,USA,Tennessee,South Toddmouth,Premium,2023-05-19,True,2.65,Gaming Console,1.0,2025-02-20 22:21:53.152040,Dream Secret,TV Series,Documentary,Sci-Fi,2024,33.0,English,UK,,,8.0,105.0,False,2021-06-08,False
session_000162,user_05531,movie_0573,2024-03-22,Mobile,14.9,85.6,completed,HD,USA,False,PG,wkelly@example.org,Lori,Gilbert,34.0,Male,USA,North Carolina,Smithfurt,Standard,2023-03-05,True,19.83,Gaming Console,,2024-11-28 00:25:45.020610,Fire Kingdom,Limited Series,Action,History,2020,34.0,Spanish,Germany,,,3.0,35.0,False,2021-08-28,False
session_000163,user_04414,movie_0321,2025-09-13,Desktop,50.4,67.4,paused,HD,Canada,False,3.0,kathleenortiz@example.net,Jacqueline,Rogers,59.0,Female,USA,Wisconsin,East Nathanielmouth,Basic,2023-03-25,True,51.84,Desktop,2.0,2023-02-18 02:12:33.932916,First Family,Stand-up Comedy,Comedy,,2014,534.0,English,Germany,,,,,False,2024-03-24,True
session_000164,user_03749,movie_0355,2024-12-18,Mobile,30.3,98.2,started,4K,USA,False,R,janice62@example.net,Elizabeth,Morris,20.0,Male,Canada,Quebec,Christopherfurt,Standard,2025-03-12,True,5.15,Tablet,5.0,2025-04-30 16:38:00.431976,Dream Dream,Limited Series,Family,Crime,2019,65.0,English,USA,,,4.0,177.0,False,2024-07-24,False
session_000165,user_00664,movie_0383,2025-03-18,Desktop,82.4,89.4,completed,HD,USA,False,3.0,mrichardson@example.net,Johnny,Leonard,25.0,Male,USA,Ohio,Guystad,Standard,2022-08-21,True,11.66,Desktop,5.0,2023-06-25 05:57:16.476110,Day City,TV Series,Crime,,2022,42.0,English,USA,,,6.0,89.0,False,2023-09-28,False
session_000165,user_00664,movie_0383,2025-03-18,Desktop,82.4,89.4,completed,HD,USA,False,3.0,mrichardson@example.net,Johnny,Leonard,25.0,Male,USA,Ohio,Guystad,Standard,2022-08-21,True,11.66,Desktop,5.0,2023-06-25 05:57:16.476110,Day City,TV Series,Crime,,2022,42.0,English,USA,,,6.0,89.0,False,2023-09-28,False
session_000167,user_07995,movie_0353,2025-02-05,Laptop,51.75,38.1,paused,HD,Canada,False,NC-17,tyrone73@example.org,Adriana,Allen,19.0,Female,USA,California,Williamsonfort,Premium,2023-03-16,False,380.34,Smart TV,5.0,2023-03-26 07:27:40.899668,Quest Hero,Limited Series,Action,Adventure,2009,437.0,Italian,USA,,,7.0,19.0,False,2020-08-21,False
session_000171,user_05233,movie_0081,2024-09-26,Smart TV,59.3,50.1,completed,HD,USA,False,TV-14,shirley62@example.com,Brittany,Hudson,29.0,Male,USA,Ohio,New Sandra,Premium+,2025-07-02,True,13.66,Tablet,3.0,2023-11-04 09:09:19.639258,Mission Fire,Movie,Documentary,,2023,119.0,Italian,Japan,22471820.0,5603722.0,,,False,2021-06-05,False
session_000173,user_06586,movie_0127,2024-05-31,Mobile,7.8,1.3,stopped,HD,USA,True,PG,samantha22@example.com,Michael,Martinez,50.0,Male,Canada,Newfoundland and Labrador,Cruztown,Basic,2023-01-25,True,16.94,Gaming Console,2.0,2025-06-17 05:45:51.562304,Dragon Quest,Documentary,Music,Drama,2016,85.0,English,USA,,,,,False,2024-12-22,False
session_000174,user_01292,movie_0300,2025-03-24,Desktop,51.2,88.0,stopped,4K,USA,False,NC-17,perryjessica@example.net,Stephanie,Mcfarland,20.0,Female,USA,North Carolina,Port Scottborough,Premium,2022-09-28,True,13.4,Mobile,4.0,2024-12-23 23:37:33.618773,House War,Movie,Sci-Fi,,2024,155.0,English,USA,,,,,False,2021-02-25,False
session_000175,user_03582,movie_0158,2025-01-08,Desktop,63.0,50.3,completed,HD,USA,False,5.0,smithnathan@example.net,Brian,Riley,41.0,Female,USA,Wisconsin,Aaronfurt,Premium,2025-07-07,True,16.64,Gaming Console,6.0,2025-02-08 12:21:51.823132,Storm Princess,Documentary,War,,2019,110.0,English,USA,,,,,False,2022-02-27,True
session_000177,user_07281,movie_0836,2024-09-16,Laptop,10.8,74.1,paused,4K,USA,False,TV-Y7,luke88@example.org,Brett,Odonnell,49.0,Male,USA,Indiana,Lake Robertville,Basic,2022-10-09,True,15.33,Laptop,4.0,2023-03-14 23:07:22.116718,Our Legend,Movie,War,,2015,113.0,Korean,USA,484647.0,212752946.0,,,False,2021-07-04,True
